ts_ms,open,high,low,close,volume
1724198400000,59017.59,61849.98,58793.89,61163.28,13380.11101719
1724284800000,61167.54,61430.48,59750.0,60383.29,9608.6955368
1724371200000,60383.28,64987.0,60343.2,64086.72,17852.77117167
1724457600000,64091.63,64529.78,63564.22,64179.63,5020.91676004
1724544000000,64179.63,65050.08,63793.74,64251.93,4012.30764642
1724630400000,64250.01,64509.36,62806.8,62840.0,10741.96651081
1724716800000,62840.09,63226.26,58025.49,59439.64,14195.89496578
1724803200000,59437.68,60236.98,57851.62,59045.88,10001.12169866
1724889600000,59047.94,61194.09,58729.39,59364.47,10933.22040343
1724976000000,59353.12,59929.63,57700.0,59112.77,9382.9124508
1725062400000,59117.59,59446.99,58739.31,58968.37,1368.21775121
1725148800000,58968.37,59070.55,57200.0,57299.0,4411.05388122
1725235200000,57291.21,59423.0,57119.01,59139.83,4318.6544603
1725321600000,59138.89,59825.7,57394.49,57468.84,8264.44971184
1725408000000,57460.5,58531.25,55555.0,57971.0,13715.96171494
1725494400000,57971.0,58326.12,55628.04,56156.82,12281.57828747
1725580800000,56156.82,56995.0,52530.0,53950.01,18495.45064356
1725667200000,53950.0,54847.0,53733.1,54156.33,3284.57722628
1725753600000,54159.6,55315.95,53623.95,54881.11,3684.86816392
1725840000000,54881.1,58119.97,54565.56,57053.9,10203.03329517
1725926400000,57047.82,58050.35,56377.76,57645.59,6433.21371111
1726012800000,57641.15,58014.35,55534.41,57352.79,11678.94297124
1726099200000,57352.92,58600.0,57311.15,58137.54,10175.62390483
1726185600000,58137.33,60670.0,57630.01,60543.35,11935.95544754
1726272000000,60543.35,60660.0,59436.8,60012.35,3147.39019631
1726358400000,60012.34,60402.34,58695.75,59122.33,3975.3568185
1726444800000,59122.7,59214.15,57477.0,58208.75,7654.10991835
1726531200000,58209.76,61373.41,57620.27,60312.6,11701.89074715
1726617600000,60317.38,61800.0,59174.5,61769.18,11471.50683029
1726704000000,61770.38,63891.82,61569.16,62960.14,15075.86835522
1726790400000,62956.04,64140.67,62340.0,63210.69,10636.1082809
1726876800000,63210.94,63575.63,62755.0,63362.74,1960.85712028
1726963200000,63362.74,64000.0,62380.55,63577.66,2882.2341982
1727049600000,63580.39,64739.67,62566.28,63338.87,7014.74459935
1727136000000,63338.85,64700.0,62689.15,64272.93,8933.46473574
1727222400000,64272.93,64811.0,62932.8,63130.89,5909.09510453
1727308800000,63131.13,65865.0,62652.99,65177.21,12789.85035505
1727395200000,65176.39,66550.0,64827.85,65789.0,9529.0168808
1727481600000,65787.53,66266.39,65400.0,65858.99,2755.22680581
1727568000000,65857.33,66059.0,65433.29,65600.01,2721.35197741
1727654400000,65600.01,65624.95,62833.95,63301.25,10629.74147917
1727740800000,63305.52,64106.75,60150.89,60790.0,15970.80295516
1727827200000,60792.63,62380.34,59969.2,60631.37,8764.03050337
1727913600000,60631.36,61474.92,59824.87,60744.99,7834.55718072
1728000000000,60745.0,62481.0,60454.5,62090.71,7884.21831808
1728086400000,62090.7,62380.04,61686.34,62051.29,1783.56564961
1728172800000,62051.29,62978.75,61805.85,62810.86,2086.21821773
1728259200000,62810.93,64467.02,62113.28,62200.28,10707.1500015
1728345600000,62203.82,63191.05,61824.48,62122.02,6566.33034742
1728432000000,62118.44,62507.68,60255.0,60578.28,7582.36723494
1728518400000,60578.28,61271.59,58863.9,60279.53,10462.57962276
1728604800000,60279.53,63416.7,60029.98,62518.75,11454.9900534
1728691200000,62518.75,63474.25,62464.15,63187.47,3943.90648994
1728777600000,63183.08,63270.18,62033.0,62845.3,2257.61460657
1728864000000,62847.89,66500.0,62426.67,66065.65,13638.71106556
1728950400000,66065.64,67944.76,64778.44,67056.6,16324.01191342
1729036800000,67056.62,68399.0,66743.0,67608.44,12465.75691229
1729123200000,67608.45,67926.99,66629.97,67402.33,7912.22639285
1729209600000,67399.86,69000.62,67149.24,68426.11,11802.74441943
1729296000000,68426.11,68689.29,68005.83,68363.73,1868.86958754
1729382400000,68363.73,69380.0,68083.18,69014.86,2632.89214855
1729468800000,69014.87,69498.0,66802.0,67346.15,10226.59346669
1729555200000,67346.15,67800.0,66535.0,67380.08,8598.06472763
1729641600000,67389.7,67415.65,65149.51,66601.11,9021.17140157
1729728000000,66601.1,68800.0,66445.32,68156.84,10016.19830413
1729814400000,68156.84,68742.38,65500.01,66564.51,14485.49253537
1729900800000,66564.51,67365.18,66331.95,67012.56,2949.2199701
1729987200000,67008.15,68261.37,66836.78,67943.19,2819.59766921
1730073600000,67943.18,70235.98,67532.48,69924.5,16140.14013624
1730160000000,69924.49,73624.98,69705.76,72724.35,20616.91187006
1730246400000,72724.35,72948.6,71400.01,72322.91,13543.49337837
1730332800000,72322.91,72684.02,69559.33,70197.83,14726.78460342
1730419200000,70198.02,71620.0,68720.0,69467.29,15295.28781188
1730505600000,69466.64,69891.92,69000.0,69358.94,2203.99644104
1730592000000,69360.95,69364.65,67444.0,68738.18,6758.88506466
1730678400000,68736.4,69453.94,66783.77,67807.48,12431.01371517
1730764800000,67810.15,70557.67,67427.53,69380.73,12867.66127618
1730851200000,69380.64,76509.56,69285.82,75646.55,45398.11837369
1730937600000,75646.55,76999.0,74463.96,75920.0,21932.40207681
1731024000000,75925.0,77312.18,75654.26,76566.73,18378.39876264
1731110400000,76566.72,76952.67,75758.58,76716.06,4836.57005338
1731196800000,76716.06,81534.28,76535.33,80428.92,16728.21105103
1731283200000,80427.69,89666.0,80277.34,88770.73,35560.11866694
1731369600000,88770.74,90100.0,85010.0,88035.43,40111.80924643
1731456000000,88035.43,93495.0,86220.5,90493.82,42318.6909168
1731542400000,90499.4,91831.25,86672.07,87340.4,23422.75915863
1731628800000,87338.96,91934.62,87100.83,91058.36,20388.33115227
1731715200000,91058.36,91820.73,90069.21,90636.24,6598.0269304
1731801600000,90638.54,91439.82,88713.64,89886.69,5574.55122824
1731888000000,89877.11,92674.8,89372.65,90520.3,17340.77166451
1731974400000,90521.32,94105.84,90403.24,92435.89,18267.16111244
1732060800000,92445.04,94989.99,91600.0,94393.15,20329.039987
1732147200000,94384.15,99073.53,94127.2,98439.09,31188.09394751
1732233600000,98439.1,99860.0,97209.52,99024.03,29936.62215019
1732320000000,99024.03,99044.11,97215.01,97778.77,12072.47203722
1732406400000,97778.78,98700.0,95780.77,98028.18,8654.77135767
1732492800000,98032.06,98999.0,92534.93,93000.01,20695.912495
1732579200000,93001.48,95004.92,90682.58,91929.54,17848.01962899
1732665600000,91929.53,97386.06,91747.46,95951.19,15213.90946356
1732752000000,95951.19,96676.31,94671.59,95665.53,5586.55288339
1732838400000,95665.53,98750.0,95383.46,97490.56,12587.02498942
1732924800000,97489.8,97509.6,96129.73,96465.42,3476.04255853
1733011200000,96464.95,97895.9,95753.42,97263.18,4039.27591451
1733097600000,97259.17,98200.0,94400.63,95862.89,15554.61486745
1733184000000,95862.89,96310.1,93571.3,95924.52,17898.7046212
1733270400000,95924.85,99263.2,94634.85,98746.24,17528.92050771
1733356800000,98746.24,104000.0,92055.86,97044.23,36399.8182427
1733443200000,97049.47,102104.12,96424.2,99891.35,17801.21293952
1733529600000,99885.37,100583.27,99012.73,99929.32,4774.3508777
1733616000000,99919.2,101435.05,98729.66,101174.99,4230.35225168
1733702400000,101175.0,101290.73,94220.8,97324.81,20103.05073464
1733788800000,97330.66,98338.17,94273.38,96660.76,20620.53877488
1733875200000,96660.75,101984.98,95722.79,101202.11,21190.23753294
1733961600000,101211.61,102595.0,99298.39,100030.47,14796.92456547
1734048000000,100024.75,101959.13,99220.81,101428.75,13327.59954074
1734134400000,101428.74,102650.0,100600.0,101399.99,4181.40180281
1734220800000,101400.0,105100.0,101221.34,104447.76,7796.33358128
1734307200000,104445.15,107857.79,103289.21,106099.81,22575.87902891
1734393600000,106099.98,108388.88,105337.97,106136.99,11994.58863972
1734480000000,106145.83,106528.13,99939.82,100150.73,22294.42835455
1734566400000,100148.6,102796.22,95539.67,97372.21,23522.12863874
1734652800000,97372.2,98132.47,92115.66,97765.0,21766.62386138
1734739200000,97762.75,99596.57,96368.0,97230.08,6451.43271418
1734825600000,97230.09,97387.98,94182.98,95087.75,4933.50127735
1734912000000,95091.15,96430.08,92360.91,94764.56,13476.98947566
1734998400000,94767.88,99444.0,93426.25,98594.47,13355.36314305
1735084800000,98594.47,99484.92,97557.48,99346.28,5254.2370598
1735171200000,99358.67,99887.0,95083.93,95669.49,11403.37268934
1735257600000,95669.4,97340.47,93234.31,94171.89,13169.12897588
1735344000000,94171.7,95534.17,94002.72,95130.82,2722.6591363
1735430400000,95125.59,95170.06,92841.48,93563.35,3417.52751094
1735516800000,93563.35,94910.48,91271.19,92620.71,15271.24432744
1735603200000,92620.7,96148.94,91887.13,93354.22,10348.6325655
1735689600000,93347.59,94960.91,92743.63,94383.59,6871.73848196
1735776000000,94383.59,97776.99,94177.0,96903.19,10912.47383962
1735862400000,96905.48,98969.92,96016.63,98136.51,9021.88538159
1735948800000,98139.85,98761.02,97516.65,98209.85,2742.08960614
1736035200000,98209.85,98814.0,97250.0,98345.33,2377.92175899
1736121600000,98347.65,102500.0,97900.0,102279.41,15173.55606778
1736208000000,102279.41,102735.99,96105.11,96941.98,16587.2869223
